Content,cleaned_content,label,label_name
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname,1,Anomaly
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
session opened for user test by (uid=509),session opened for user test by uid,0,Normal
session closed for user test,session closed for user test,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,connection from ip_addr hostname hostname at fri jun,0,Normal
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname net,1,Anomaly
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,connection from ip_addr hostname hostname at sat jun,0,Normal
User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,user unknown timed out after seconds at sat jun,1,Anomaly
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
cupsd shutdown succeeded,cupsd shutdown succeeded,0,Normal
cupsd startup succeeded,cupsd startup succeeded,0,Normal
restart.,restart,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,connection from ip_addr at mon jun,0,Normal
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
Received SNMP packet(s) from 67.170.148.126,received snmp packet s from ip_addr,0,Normal
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr user guest,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostname com user root,1,Anomaly
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure logname uid euid tty nodevssh ruser rhost hostname hostname,1,Anomaly
