Content,cleaned_content,EventId,EventTemplate,source,label,label_name
10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.71.68:50010 Served block blk_-2794533871450434534 to /10.251.199.150,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.250.13.188:50010:Got exception while serving blk_6241141267506413726 to /10.251.194.245:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.214.32:50010 Served block blk_-6520030462660619051 to /10.251.215.70,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.250.6.214:50010 Served block blk_5739119717322549945 to /10.251.43.115,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.250.14.196:50010:Got exception while serving blk_-305633040016166849 to /10.251.38.53:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.203.166:50010 Served block blk_8787656642683881295 to /10.251.107.98,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.251.90.64:50010:Got exception while serving blk_-4841792440390267307 to /10.251.90.239:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.71.146:50010:Got exception while serving blk_-2032740670708110312 to /10.251.197.161:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.74.79:50010:Got exception while serving blk_2244903517044280975 to /10.251.74.134:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.251.43.210:50010:Got exception while serving blk_2969087638814291714 to /10.251.199.86:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.126.255:50010:Got exception while serving blk_2879780987351022871 to /10.251.39.144:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.73.220:50010:Got exception while serving blk_4934527196392001803 to /10.251.203.246:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.35.1:50010:Got exception while serving blk_7940316270494947483 to /10.251.122.38:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,ip_addr num got exception while serving block_id to ip_addr,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HDFS,1,Anomaly
Received block blk_-6867873931012347356 of size 67108864 from /10.251.39.64,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_6093743385844975689 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Receiving block blk_8692428775973608797 src: /10.250.10.213:56574 dest: /10.250.10.213:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
PacketResponder 0 for block blk_-6837050820114491742 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Received block blk_-5195432543794777448 of size 67108864 from /10.250.10.6,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.68:50010 is added to blk_1636660629634995787 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.75.79:50010 is added to blk_467589865104023338 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_7929144620252342335 of size 67108864 from /10.251.31.5,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Receiving block blk_-1798958443298220150 src: /10.251.111.209:57419 dest: /10.251.111.209:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
PacketResponder 0 for block blk_-54240672253074715 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Receiving block blk_-7172347691639518373 src: /10.251.111.37:35327 dest: /10.251.111.37:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Receiving block blk_-6412155847905320411 src: /10.251.30.85:58995 dest: /10.251.30.85:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Receiving block blk_699651392443620263 src: /10.251.70.5:34703 dest: /10.251.70.5:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Receiving block blk_-8788032532930439012 src: /10.251.126.255:41104 dest: /10.251.126.255:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Received block blk_-3455521536483250153 of size 67108864 from /10.251.106.37,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.85:50010 is added to blk_-7017553867379051457 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Receiving block blk_-1259190292740306590 src: /10.251.65.203:36289 dest: /10.251.65.203:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. blk_-6620182933895093708,block hostname user root sortrand _temporary _task_ _ _r_ _ part num block_id,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HDFS,0,Normal
PacketResponder 1 for block blk_2028803850179311599 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Receiving block blk_-8562334328670278932 src: /10.251.194.147:46714 dest: /10.251.194.147:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
PacketResponder 1 for block blk_-8108913101671416218 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
PacketResponder 0 for block blk_-7640601843607665080 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Receiving block blk_7654726977769174867 src: /10.251.110.160:49990 dest: /10.251.110.160:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
PacketResponder 1 for block blk_8320088109701056055 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4585055992495043771 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_-4330512786228504138 of size 67108864 from /10.251.67.225,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.179:50010 is added to blk_4628142183191390143 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 2 for block blk_-6766351519628312408 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_-476906696485288376 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 0 for block blk_-7436749154361133879 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
